payment_id,order_id,payment_method,amount
PAY0000000,O0070490,COD,4096.82
PAY0000001,O0034779,COD,5799.97
PAY0000002,O0028911,NetBanking,5015.29
PAY0000003,O0022101,Card,11844.77
PAY0000004,O0054735,COD,9103.55
PAY0000005,O0037884,COD,14291.15
PAY0000006,O0085088,UPI,5127.5
PAY0000007,O0079483,UPI,19996.87
PAY0000008,O0091966,UPI,561.58
PAY0000009,O0018570,UPI,5448.48
PAY0000010,O0076949,UPI,2618.33
PAY0000011,O0062389,UPI,20301.46
PAY0000012,O0053889,COD,14765.79
PAY0000013,O0024372,Unknown,20145.59
PAY0000014,O0060661,Card,4176.35
PAY0000015,O0087098,COD,12237.29
PAY0000016,O0036234,Card,17794.56
PAY0000017,O0024819,COD,11570.18
PAY0000018,O0074484,UPI,14032.24
PAY0000019,O0078426,Unknown,3134.04
PAY0000020,O0075184,COD,9500.0
PAY0000021,O0020164,NetBanking,20166.42
PAY0000022,O0069091,Card,18372.29
PAY0000023,O0052144,Unknown,20868.02
PAY0000024,O0099261,Unknown,22048.96
PAY0000025,O0077174,Unknown,16729.65
PAY0000026,O0029671,NetBanking,15524.29
PAY0000027,O0060241,Unknown,8908.11
PAY0000028,O0064625,Unknown,3980.1
PAY0000029,O0057236,UPI,13464.73
PAY0000030,O0033421,COD,8650.92
PAY0000031,O0063496,COD,2129.9
PAY0000032,O0053986,COD,16532.22
PAY0000033,O0085663,Unknown,3728.61
PAY0000034,O0079256,Card,5982.6
PAY0000035,O0031187,NetBanking,870.93
PAY0000036,O0049864,COD,11883.23
PAY0000037,O0075398,Unknown,2583.87
PAY0000038,O0094280,COD,21589.49
PAY0000039,O0072583,Card,4645.52
PAY0000040,O0045549,Card,20332.02
PAY0000041,O0050029,UPI,4283.78
PAY0000042,O0093463,UPI,14634.74
PAY0000043,O0029874,UPI,3542.11
PAY0000044,O0062882,Card,24995.5
PAY0000045,O0008584,UPI,15344.68
PAY0000046,O0006513,UPI,24770.22
PAY0000047,O0096401,UPI,21186.36
PAY0000048,O0014652,COD,4259.03
PAY0000049,O0067669,UPI,15399.84
PAY0000050,O0053901,Card,1016.25
PAY0000051,O0061652,Unknown,13668.87
PAY0000052,O0053588,Unknown,7220.48
PAY0000053,O0097059,UPI,4598.61
PAY0000054,O0006635,UPI,12683.65
PAY0000055,O0091725,COD,24276.83
PAY0000056,O0044087,NetBanking,24927.6
PAY0000057,O0061471,COD,15855.8
PAY0000058,O0019720,NetBanking,4772.99
PAY0000059,O0008726,UPI,22648.29
PAY0000060,O0022057,UPI,8167.22
PAY0000061,O0088431,UPI,5448.05
PAY0000062,O0040800,Card,1526.2
PAY0000063,O0070136,Card,1712.16
PAY0000064,O0078100,Unknown,6463.96
PAY0000065,O0070858,UPI,12590.28
PAY0000066,O0084416,UPI,23743.12
PAY0000067,O0045761,UPI,896.43
PAY0000068,O0033916,Card,23480.16
PAY0000069,O0085057,UPI,12658.64
PAY0000070,O0044139,NetBanking,8650.06
PAY0000071,O0021182,UPI,19385.41
PAY0000072,O0092719,UPI,23511.51
PAY0000073,O0031735,UPI,9632.62
PAY0000074,O0000873,Unknown,21738.05
PAY0000075,O0060926,COD,12026.16
PAY0000076,O0035504,Unknown,15582.36
PAY0000077,O0047095,Card,5760.59
PAY0000078,O0049310,Card,19442.37
PAY0000079,O0093946,NetBanking,18865.45
PAY0000080,O0085078,NetBanking,24907.29
PAY0000081,O0053511,NetBanking,265.2
PAY0000082,O0094269,NetBanking,788.35
PAY0000083,O0005242,Card,18297.55
PAY0000084,O0023213,NetBanking,18516.87
PAY0000085,O0021748,NetBanking,16780.28
PAY0000086,O0025317,COD,9447.29
PAY0000087,O0005062,Unknown,15222.39
PAY0000088,O0012008,Card,7018.4
PAY0000089,O0091655,Card,16112.23
PAY0000090,O0033368,UPI,19225.71
PAY0000091,O0051823,NetBanking,18092.09
PAY0000092,O0024000,Unknown,13184.27
PAY0000093,O0077676,Card,7586.61
PAY0000094,O0092873,UPI,9089.27
PAY0000095,O0001762,UPI,8060.3
PAY0000097,O0093373,UPI,22897.69
PAY0000098,O0024633,NetBanking,7597.5
PAY0000099,O0018869,NetBanking,18873.43
PAY0000100,O0073189,COD,8304.42
PAY0000101,O0059345,UPI,24185.33
PAY0000102,O0080041,UPI,6416.66
PAY0000103,O0084624,COD,24217.67
PAY0000104,O0079258,UPI,5319.28
PAY0000105,O0050445,COD,825.38
PAY0000106,O0044557,Unknown,18606.81
PAY0000107,O0030727,COD,21894.63
PAY0000108,O0043829,Card,9722.35
PAY0000109,O0089217,Unknown,385.3
PAY0000110,O0004483,Card,21679.15
PAY0000111,O0053056,Unknown,16561.48
PAY0000112,O0001843,Unknown,16282.49
PAY0000113,O0053592,Unknown,4076.99
PAY0000114,O0008616,COD,73.23
PAY0000115,O0059278,Card,19846.5
PAY0000116,O0035091,COD,22421.56
PAY0000117,O0089845,COD,9846.29
PAY0000118,O0079000,COD,18545.62
PAY0000119,O0028124,NetBanking,5233.12
PAY0000120,O0049743,Unknown,23251.97
PAY0000121,O0065536,COD,20121.07
PAY0000122,O0060977,Unknown,16393.31
PAY0000123,O0061072,Unknown,7058.21
PAY0000124,O0037495,Unknown,14780.74
PAY0000125,O0094413,NetBanking,7354.55
PAY0000126,O0063564,UPI,19067.92
PAY0000127,O0039035,NetBanking,21506.96
PAY0000128,O0025439,Card,23766.59
PAY0000129,O0080036,Unknown,6932.35
PAY0000130,O0024836,NetBanking,14573.09
PAY0000131,O0069729,Card,139.3
PAY0000132,O0064177,Card,2295.79
PAY0000133,O0037842,COD,23310.35
PAY0000134,O0036821,COD,5319.82
PAY0000135,O0052673,Unknown,17944.48
PAY0000136,O0071721,UPI,12276.86
PAY0000137,O0005434,Unknown,21896.64
PAY0000138,O0040471,NetBanking,18516.85
PAY0000139,O0026274,Card,13993.74
PAY0000140,O0007111,NetBanking,13766.44
PAY0000141,O0097199,Card,13568.68
PAY0000142,O0009842,Card,21030.43
PAY0000143,O0013378,Card,13064.36
PAY0000144,O0000332,NetBanking,18544.37
PAY0000145,O0044976,UPI,11665.55
PAY0000146,O0085037,NetBanking,22774.31
PAY0000147,O0056986,COD,7206.62
PAY0000148,O0001937,COD,5536.91
PAY0000149,O0078149,Card,24194.73
PAY0000150,O0032101,NetBanking,3558.13
PAY0000151,O0055307,UPI,9656.16
PAY0000152,O0036421,Unknown,7167.43
PAY0000153,O0025630,COD,3304.34
PAY0000154,O0002670,NetBanking,1524.87
PAY0000155,O0025339,Unknown,7239.07
PAY0000156,O0061943,NetBanking,2740.64
PAY0000157,O0072230,UPI,10848.91
PAY0000158,O0034108,Unknown,2845.01
PAY0000159,O0076993,UPI,8408.23
PAY0000160,O0000382,UPI,9513.36
PAY0000161,O0024108,Unknown,12173.38
PAY0000162,O0040520,UPI,8751.95
PAY0000163,O0015926,Unknown,17435.82
PAY0000164,O0065318,Card,5674.78
PAY0000165,O0060913,COD,23929.02
PAY0000166,O0029046,UPI,18979.13
PAY0000167,O0044276,Unknown,7021.57
PAY0000168,O0058627,UPI,6492.77
PAY0000169,O0084931,UPI,12502.24
PAY0000170,O0070666,Unknown,9419.68
PAY0000171,O0099434,UPI,392.62
PAY0000172,O0087248,UPI,23196.66
PAY0000173,O0066238,Card,13766.73
PAY0000174,O0039509,UPI,23918.68
PAY0000175,O0042309,NetBanking,17505.84
PAY0000176,O0065163,COD,16451.65
PAY0000177,O0076016,COD,437.5
PAY0000178,O0007279,UPI,9587.56
PAY0000179,O0063317,UPI,12751.13
PAY0000180,O0050167,UPI,7800.52
PAY0000181,O0044803,NetBanking,2275.62
PAY0000182,O0039243,NetBanking,2548.38
PAY0000183,O0056272,Card,996.29
PAY0000184,O0016012,NetBanking,22397.19
PAY0000185,O0088264,Unknown,1142.95
PAY0000186,O0001416,UPI,14774.28
PAY0000187,O0003807,Unknown,5110.84
PAY0000188,O0019065,Unknown,8582.95
PAY0000189,O0065559,NetBanking,14537.24
PAY0000190,O0051068,Card,14417.72
PAY0000191,O0050475,UPI,18600.06
PAY0000192,O0034716,UPI,15546.15
PAY0000193,O0084220,UPI,9135.49
PAY0000194,O0055688,NetBanking,17264.86
PAY0000195,O0016179,Unknown,22557.45
PAY0000196,O0080524,NetBanking,23172.91
PAY0000197,O0019927,UPI,2114.83
PAY0000198,O0089601,Unknown,19538.16
PAY0000199,O0001262,Unknown,16159.86
PAY0000200,O0004478,NetBanking,16852.83
PAY0000201,O0018303,UPI,6008.6
PAY0000202,O0083123,UPI,4461.62
PAY0000203,O0004762,COD,20499.61
PAY0000204,O0029298,Unknown,6592.01
PAY0000205,O0051557,UPI,8262.83
PAY0000206,O0038297,UPI,14326.47
PAY0000207,O0036215,UPI,16312.69
PAY0000208,O0001389,COD,23790.91
PAY0000209,O0058290,COD,16954.33
PAY0000210,O0078932,COD,9158.51
PAY0000211,O0042424,NetBanking,12053.31
PAY0000212,O0038505,NetBanking,13523.14
PAY0000213,O0081877,COD,22316.42
PAY0000214,O0062716,Unknown,21315.4
PAY0000215,O0099859,Card,14190.92
PAY0000216,O0051381,UPI,5359.5
PAY0000217,O0065541,Card,16804.37
PAY0000218,O0041332,UPI,18279.61
PAY0000219,O0045713,UPI,10948.45
PAY0000220,O0054320,Card,1200.64
PAY0000221,O0086019,COD,550.52
PAY0000222,O0040228,Card,4349.84
PAY0000223,O0084991,NetBanking,15981.96
PAY0000224,O0064294,COD,9651.31
PAY0000225,O0075130,COD,4957.46
PAY0000226,O0030770,UPI,7553.11
PAY0000227,O0097897,UPI,3198.34
PAY0000228,O0053333,NetBanking,13750.34
PAY0000229,O0071180,Unknown,1006.1
PAY0000230,O0030364,UPI,7700.64
