order_id,customer_id,status
O0000000,C024504,Returned
O0000001,C018974,Delivered
O0000002,C001586,delivered
O0000003,C003069,Returned
O0000004,C011950,Shipped
O0000005,C024666,
O0000006,C009706,Delivered
O0000007,C009825,delivered
O0000008,C019388,Cancelled
O0000009,C003425,
O0000010,C021087,Delivered
O0000011,C020479,Returned
O0000012,C007930,delivered
O0000013,C009583,Delivered
O0000014,C005088,Cancelled
O0000015,C007515,Cancelled
O0000016,C009413,Returned
O0000017,C009874,
O0000018,C019880,
O0000019,C019691,
O0000020,C002069,delivered
O0000021,C017451,Returned
O0000022,C019955,Cancelled
O0000023,C015356,Returned
O0000024,C013961,delivered
O0000025,C014977,
O0000026,C005010,Cancelled
O0000027,C004172,Shipped
O0000028,C005413,Delivered
O0000029,C017715,Cancelled
O0000030,C005365,Shipped
O0000031,C016629,Returned
O0000032,C003788,Returned
O0000033,C005688,Shipped
O0000034,C020820,delivered
O0000035,C021826,Shipped
O0000036,C023811,
O0000037,C003084,Returned
O0000038,C010074,delivered
O0000039,C002982,
O0000040,C006969,Shipped
O0000041,C022120,Cancelled
O0000042,C019980,Returned
O0000043,C015968,Delivered
O0000044,C010087,Cancelled
O0000045,C007561,Delivered
O0000046,C024192,delivered
O0000047,C001154,Cancelled
O0000048,C016876,Cancelled
O0000049,C023716,
O0000050,C018733,Cancelled
O0000051,C023742,Delivered
O0000052,C014536,Returned
O0000053,C022138,Cancelled
O0000054,C000372,delivered
O0000055,C014731,delivered
O0000056,C002029,delivered
O0000057,C013612,
O0000058,C002204,Returned
O0000059,C002090,Shipped
O0000060,C023768,
O0000061,C014796,Shipped
O0000062,C020251,Shipped
O0000063,C020599,delivered
O0000064,C013984,Returned
O0000065,C006169,Shipped
O0000066,C004281,Delivered
O0000067,C022022,
O0000068,C006627,Delivered
O0000069,C019650,Cancelled
O0000070,C024638,Delivered
O0000071,C007619,
O0000072,C015040,
O0000073,C007503,Cancelled
O0000074,C024727,Returned
O0000075,C023839,Cancelled
O0000076,C001634,
O0000077,C024140,Delivered
O0000078,C018840,delivered
O0000079,C009201,delivered
O0000080,C005315,
O0000081,C018813,
O0000082,C011739,Cancelled
O0000083,C008089,delivered
O0000084,C013833,Shipped
O0000085,C000513,Shipped
O0000086,C018515,delivered
O0000087,C009196,
O0000088,C017616,Delivered
O0000089,C015600,Returned
O0000090,C006847,Delivered
O0000091,C001628,Cancelled
O0000092,C013456,Returned
O0000093,C013172,Cancelled
O0000094,C004561,Returned
O0000095,C012788,
O0000096,C020295,delivered
O0000097,C000679,Delivered
O0000098,C014999,delivered
O0000099,C010789,Returned
O0000100,C015683,delivered
O0000101,C000826,Shipped
O0000102,C016471,Cancelled
O0000103,C018463,delivered
O0000104,C012216,Returned
O0000105,C002844,Cancelled
