product_id,category,price,brand,stock
P000000,Fashion,889.61,Sony,621
P000001,Electronics,313.84,Boat,465
P000002,Fashion,607.57,Boat,153
P000003,Beauty,168.39,Boat,956
P000004,electronics,900.85,Samsung,913
P000005,Home,136.93,Sony,85
P000006,Fashion,2036.65,,520
P000007,,349.1,Samsung,820
P000008,Electronics,576.32,Nike,639
P000009,Fashion,429.67,Samsung,292
P000010,electronics,410.64,,234
P000011,electronics,218.2,Samsung,70
P000012,Home,930.82,Boat,797
P000013,electronics,357.09,Boat,824
P000014,Electronics,410.59,Samsung,144
P000015,Home,343.91,Sony,955
P000016,electronics,2383.82,Sony,-16
P000017,Home,630.89,Sony,497
P000018,Beauty,267.22,,286
P000019,Beauty,205.43,Boat,306
P000020,Beauty,189.21,sony,802
P000021,Fashion,267.82,sony,638
P000022,Home,320.78,sony,835
P000023,Electronics,30424.0,Nike,380
P000024,electronics,760.56,Boat,-5
P000025,Sports,379.87,sony,725
P000026,Home,525.09,Samsung,175
P000027,electronics,867.67,Boat,532
P000028,Home,554.95,Sony,727
P000029,Fashion,435.06,sony,727
P000030,electronics,523.35,Samsung,786
P000031,,254.6,sony,-9
P000032,electronics,214.15,,598
P000033,electronics,422.02,sony,892
P000034,Electronics,248.69,Boat,720
P000035,electronics,665.95,sony,443
P000036,Electronics,192.1,Samsung,784
P000037,Beauty,658.65,Sony,887
P000038,Home,620.23,Sony,875
P000039,Beauty,634.16,Boat,77
P000040,electronics,389.24,sony,748
P000041,,322.02,Samsung,119
P000042,Beauty,633.91,Nike,934
P000043,,162.7,Nike,262
P000044,Electronics,373.05,Nike,974
P000045,Home,554.62,Boat,649
P000046,Fashion,440.04,Sony,266
P000047,Fashion,1023.17,sony,473
P000048,electronics,461.07,Samsung,809
P000049,electronics,474.01,Sony,679
P000050,,118.45,sony,118
P000051,,555.38,Nike,241
P000052,Beauty,668.47,sony,71
P000053,Home,176.22,Boat,482
P000054,Electronics,208.66,Sony,873
P000055,Sports,604.31,sony,94
P000056,Sports,367.39,Samsung,72
P000057,Fashion,1068.68,Boat,301
P000058,Electronics,1475.12,sony,406
P000059,,141.57,Sony,166
P000060,,219.09,sony,686
P000061,Beauty,169.97,Sony,955
P000062,Sports,258.29,Nike,149
P000063,Fashion,378.24,Boat,247
P000064,Fashion,382.97,Boat,789
P000065,,371.67,sony,201
P000066,Fashion,539.89,Sony,924
P000067,electronics,24853.5,sony,831
P000068,Beauty,683.15,Boat,628
